section,code,screen,appbar,headline,primary_cta,bottom_nav,overlay,figma_node_id,figma_url
B,B10,B10 · 카드 상세 · 추천 이유,오늘의 카드,,이 행동 시작하기,,,287:1259,https://www.figma.com/design/ByGT2uoinUBxAQOBqAK7sM/?node-id=287-1259
B,B11,B11 · 대체 미션 요청,오늘의 카드,오늘은 어떤 게 어려워?,다른 방법 보기,,,287:1302,https://www.figma.com/design/ByGT2uoinUBxAQOBqAK7sM/?node-id=287-1302
B,B12,B12 · 대체 미션 적용 완료,오늘의 카드,이렇게 바꿨어,이 행동 시작하기,,,287:1355,https://www.figma.com/design/ByGT2uoinUBxAQOBqAK7sM/?node-id=287-1355
B,B13,B13 · 알림함,알림,,,,,287:1413,https://www.figma.com/design/ByGT2uoinUBxAQOBqAK7sM/?node-id=287-1413
B,B14,B14 · 홈 · 첫 진입 코치마크,틈튼,,오늘의 카드 고르기,Y,,287:1443,https://www.figma.com/design/ByGT2uoinUBxAQOBqAK7sM/?node-id=287-1443
B,B14b,B14b · 홈 · 첫 진입 코치마크 2,틈튼,,오늘의 카드 고르기,Y,,473:4204,https://www.figma.com/design/ByGT2uoinUBxAQOBqAK7sM/?node-id=473-4204
B,B15,B15 · 알림함 · 비어 있음,알림,,,,,475:6574,https://www.figma.com/design/ByGT2uoinUBxAQOBqAK7sM/?node-id=475-6574
B,B16,B16 · 홈 · 쉬어가기 확인 [신규],틈튼,,오늘 쉬어가기,Y,Y,514:4291,https://www.figma.com/design/ByGT2uoinUBxAQOBqAK7sM/?node-id=514-4291
B,B17,B17 · 홈 · 오늘은 쉼 [신규],틈튼,,,Y,,514:6872,https://www.figma.com/design/ByGT2uoinUBxAQOBqAK7sM/?node-id=514-6872
C,C01,C01 · 체크형 챌린지,오늘의 행동,자기 전에 물 한 컵 마시기,마셨어요 · 완료하기,,,101:2,https://www.figma.com/design/ByGT2uoinUBxAQOBqAK7sM/?node-id=101-2
C,C02,C02 · 타이머형 · 시작 전,오늘의 행동,점심 먹고 8분 걷기,시작하기,,,101:43,https://www.figma.com/design/ByGT2uoinUBxAQOBqAK7sM/?node-id=101-43
C,C03,C03 · 타이머형 · 진행 중,오늘의 행동,점심 먹고 8분 걷기,완료하기,,,101:87,https://www.figma.com/design/ByGT2uoinUBxAQOBqAK7sM/?node-id=101-87
C,C04,C04 · 타이머형 · 일시정지,오늘의 행동,점심 먹고 8분 걷기,이어서 하기,,,101:122,https://www.figma.com/design/ByGT2uoinUBxAQOBqAK7sM/?node-id=101-122
C,C05,C05 · 완료 처리 중,오늘의 행동,점심 먹고 8분 걷기,기록하는 중…,,,103:96,https://www.figma.com/design/ByGT2uoinUBxAQOBqAK7sM/?node-id=103-96
C,C06,C06 · 오프라인 · 기록 복구,오늘의 행동,점심 먹고 8분 걷기,,,,104:160,https://www.figma.com/design/ByGT2uoinUBxAQOBqAK7sM/?node-id=104-160
C,C07,C07 · 완료 보상 · 재료 획득,오늘 완료,오늘 8분 걸었어요,댐 보러 가기,,,104:201,https://www.figma.com/design/ByGT2uoinUBxAQOBqAK7sM/?node-id=104-201
C,C08,C08 · 적합도 피드백 시트,오늘 완료,오늘 8분 걸었어요,보내기,,Y,104:249,https://www.figma.com/design/ByGT2uoinUBxAQOBqAK7sM/?node-id=104-249
C,C09,C09 · 자동 측정 · 공통 안내,오늘의 행동,점심 먹고 8분 걷기,측정 시작,,,140:247,https://www.figma.com/design/ByGT2uoinUBxAQOBqAK7sM/?node-id=140-247
C,C10,C10 · 자동 측정 · 활동 시간 · 측정 중,오늘의 행동,점심 먹고 8분 걷기,,,,140:297,https://www.figma.com/design/ByGT2uoinUBxAQOBqAK7sM/?node-id=140-297
C,C11,C11 · 자동 측정 · 활동 시간 · 자동 일시정지,오늘의 행동,점심 먹고 8분 걷기,다시 시작,,,140:342,https://www.figma.com/design/ByGT2uoinUBxAQOBqAK7sM/?node-id=140-342
C,C12,C12 · 자동 측정 · 거리 · 측정 중,오늘의 행동,동네 한 바퀴 1km 걷기,,,,140:384,https://www.figma.com/design/ByGT2uoinUBxAQOBqAK7sM/?node-id=140-384
C,C13,C13 · 자동 측정 · 거리 · 신호 낮음,오늘의 행동,동네 한 바퀴 1km 걷기,이대로 계속하기,,,140:430,https://www.figma.com/design/ByGT2uoinUBxAQOBqAK7sM/?node-id=140-430
C,C14,C14 · 자동 측정 · 계단 · 측정 중,오늘의 행동,계단 50칸 오르기,,,,141:324,https://www.figma.com/design/ByGT2uoinUBxAQOBqAK7sM/?node-id=141-324
C,C15,C15 · 자동 측정 · 백그라운드 알림,,,,,,141:370,https://www.figma.com/design/ByGT2uoinUBxAQOBqAK7sM/?node-id=141-370
C,C16,C16 · 자동 측정 · 권한 거부 · 미지원,오늘의 행동,점심 먹고 8분 걷기,직접 체크로 진행하기,,,141:406,https://www.figma.com/design/ByGT2uoinUBxAQOBqAK7sM/?node-id=141-406
C,C17,C17 · 자동 측정 · 앱 복구,오늘의 행동,점심 먹고 8분 걷기,이어서 하기,,,141:455,https://www.figma.com/design/ByGT2uoinUBxAQOBqAK7sM/?node-id=141-455
C,C18,C18 · 자동 측정 · 완료 결과,오늘 완료,오늘 8분 04초 움직였어요,메모 남기기,,,141:500,https://www.figma.com/design/ByGT2uoinUBxAQOBqAK7sM/?node-id=141-500
C,C19,C19 · 챌린지 중단 확인,오늘의 행동,점심 먹고 8분 걷기,완료하기,,Y,281:347,https://www.figma.com/design/ByGT2uoinUBxAQOBqAK7sM/?node-id=281-347
C,C20,C20 · 완료 후 한 줄 회고,오늘 완료,오늘 어땠어?,저장하기,,,281:4470,https://www.figma.com/design/ByGT2uoinUBxAQOBqAK7sM/?node-id=281-4470
C,C21,C21 · 연속 3회 미달성 · 조정 안내,오늘의 카드,요즘 카드가 잘 안 맞았나 봐,알려주기,,,282:4630,https://www.figma.com/design/ByGT2uoinUBxAQOBqAK7sM/?node-id=282-4630
D,D01,D01 · 기록 · 월 캘린더 [전면개편],기록,,,Y,,105:2,https://www.figma.com/design/ByGT2uoinUBxAQOBqAK7sM/?node-id=105-2
D,D02,D02 · 기록 · 주간 리포트 [전면개편],기록,,,Y,,105:245,https://www.figma.com/design/ByGT2uoinUBxAQOBqAK7sM/?node-id=105-245
D,D03,D03 · 하루 상세 시트 [개편],기록,,,Y,Y,107:208,https://www.figma.com/design/ByGT2uoinUBxAQOBqAK7sM/?node-id=107-208
D,D04,D04 · 기록 없음,기록,,오늘의 카드 고르기,Y,,107:316,https://www.figma.com/design/ByGT2uoinUBxAQOBqAK7sM/?node-id=107-316
D,D05,D05 · 연속 기록 · 쉼 규칙 [개편],연속 기록,,,Y,,107:374,https://www.figma.com/design/ByGT2uoinUBxAQOBqAK7sM/?node-id=107-374
D,D06,D06 · 쉼으로 표시 [개편],기록,,쉼으로 표시하기,Y,Y,292:962,https://www.figma.com/design/ByGT2uoinUBxAQOBqAK7sM/?node-id=292-962
D,D07,D07 · 기록 일부 불러오기 실패,기록,,,Y,,292:1059,https://www.figma.com/design/ByGT2uoinUBxAQOBqAK7sM/?node-id=292-1059
D,D08,D08 · 주간 리포트 · 데이터 없음,기록,이번 주 기록이 아직 없어요,오늘의 카드 고르러 가기,Y,,292:1142,https://www.figma.com/design/ByGT2uoinUBxAQOBqAK7sM/?node-id=292-1142
E,E01,E01 · 틈튼지수 (탭 홈),틈튼지수,,,Y,,111:2,https://www.figma.com/design/ByGT2uoinUBxAQOBqAK7sM/?node-id=111-2
E,E02,E02 · 틈튼지수 · 구간 기준과 출처,구간 기준과 출처,,,,,111:79,https://www.figma.com/design/ByGT2uoinUBxAQOBqAK7sM/?node-id=111-79
E,E03,E03 · 이번 계산에 반영된 항목,이번 계산에 반영된 항목,,,,,111:118,https://www.figma.com/design/ByGT2uoinUBxAQOBqAK7sM/?node-id=111-118
E,E04,E04 · 계산에 쓰인 값,계산에 쓰인 값,,값 고치고 다시 계산,,,112:92,https://www.figma.com/design/ByGT2uoinUBxAQOBqAK7sM/?node-id=112-92
E,E05,E05 · 데이터 부족 · 산출 불가,참고,,오늘의 카드 고르러 가기,Y,,112:137,https://www.figma.com/design/ByGT2uoinUBxAQOBqAK7sM/?node-id=112-137
E,E06,E06 · 참고 자료 · 안내,이 지수에 대하여,,,,,112:208,https://www.figma.com/design/ByGT2uoinUBxAQOBqAK7sM/?node-id=112-208
E,E07,E07 · 틈튼지수 · 분석 미동의,참고,틈튼지수는 아직 꺼져 있어요,동의하고 계산 시작,Y,,294:5136,https://www.figma.com/design/ByGT2uoinUBxAQOBqAK7sM/?node-id=294-5136
F,F01,F01 · 내 정보 · 홈,내 정보,,,Y,,114:2,https://www.figma.com/design/ByGT2uoinUBxAQOBqAK7sM/?node-id=114-2
F,F02,F02 · 생활시간 · 알림 설정,생활시간 · 알림,,알림 설정 저장,,,114:90,https://www.figma.com/design/ByGT2uoinUBxAQOBqAK7sM/?node-id=114-90
F,F03,F03 · 연동 · 권한,연동 · 권한,,,,,114:141,https://www.figma.com/design/ByGT2uoinUBxAQOBqAK7sM/?node-id=114-141
F,F04,F04 · 계정,계정,,,,,114:186,https://www.figma.com/design/ByGT2uoinUBxAQOBqAK7sM/?node-id=114-186
F,F05,F05 · 개인정보 · 내 데이터,개인정보 · 내 데이터,,,,,115:157,https://www.figma.com/design/ByGT2uoinUBxAQOBqAK7sM/?node-id=115-157
F,F06,F06 · 도움말 · 문의,도움말 · 문의,,문의 남기기,,,115:208,https://www.figma.com/design/ByGT2uoinUBxAQOBqAK7sM/?node-id=115-208
F,F07,F07 · 계정 삭제 확인,계정,,그만두기,,Y,115:257,https://www.figma.com/design/ByGT2uoinUBxAQOBqAK7sM/?node-id=115-257
F,F08,F08 · 몸 정보 수정,몸 정보,,저장하고 다시 계산,,,297:1428,https://www.figma.com/design/ByGT2uoinUBxAQOBqAK7sM/?node-id=297-1428
F,F09,F09 · 운동 정보 수정,운동 정보,,저장하고 다시 계산,,,297:1492,https://www.figma.com/design/ByGT2uoinUBxAQOBqAK7sM/?node-id=297-1492
F,F10,F10 · 동의 관리,동의 관리,,,,,297:5600,https://www.figma.com/design/ByGT2uoinUBxAQOBqAK7sM/?node-id=297-5600
F,F11,F11 · 선택 동의 철회 확인,동의 관리,,그만두기,,Y,297:5869,https://www.figma.com/design/ByGT2uoinUBxAQOBqAK7sM/?node-id=297-5869
F,F12,F12 · 접근성 설정,접근성,,,,,297:5630,https://www.figma.com/design/ByGT2uoinUBxAQOBqAK7sM/?node-id=297-5630
F,F13,F13 · 기록만 삭제 확인,개인정보 · 내 데이터,,그만두기,,Y,297:5659,https://www.figma.com/design/ByGT2uoinUBxAQOBqAK7sM/?node-id=297-5659
F,F14,F14 · 내 데이터 내보내기,내 데이터 내보내기,무엇을 담을까요?,내보내기 요청,,,297:5691,https://www.figma.com/design/ByGT2uoinUBxAQOBqAK7sM/?node-id=297-5691
F,F15,F15 · 이메일 변경,이메일 변경,,인증번호 받기,,,297:6323,https://www.figma.com/design/ByGT2uoinUBxAQOBqAK7sM/?node-id=297-6323
F,F16,F16 · 비밀번호 변경,비밀번호 변경,,비밀번호 바꾸기,,,297:6076,https://www.figma.com/design/ByGT2uoinUBxAQOBqAK7sM/?node-id=297-6076
F,F17,F17 · 계정 삭제 재인증,계정 삭제,본인 확인이 필요합니다,,,,297:6258,https://www.figma.com/design/ByGT2uoinUBxAQOBqAK7sM/?node-id=297-6258
F,F18,F18 · 삭제 완료,,계정을 지웠어요,홈으로 가기,,,297:6392,https://www.figma.com/design/ByGT2uoinUBxAQOBqAK7sM/?node-id=297-6392
F,F19,F19 · 앱 정보 · 오픈소스 라이선스,앱 정보,,,,,297:6428,https://www.figma.com/design/ByGT2uoinUBxAQOBqAK7sM/?node-id=297-6428
F,F20,F20 · 도움말 상세,도움말,카드는 어떻게 정해지나요?,,,,297:6496,https://www.figma.com/design/ByGT2uoinUBxAQOBqAK7sM/?node-id=297-6496
F,F21,F21 · 문의 남기기,문의,,보내기,,,300:675,https://www.figma.com/design/ByGT2uoinUBxAQOBqAK7sM/?node-id=300-675
F,F22,F22 · 로그아웃 확인,계정,,그만두기,,Y,301:707,https://www.figma.com/design/ByGT2uoinUBxAQOBqAK7sM/?node-id=301-707
F,F23,F23 · 알림 시각 선택,생활시간 · 알림,,이 시각으로 저장,,Y,302:747,https://www.figma.com/design/ByGT2uoinUBxAQOBqAK7sM/?node-id=302-747
G,G01,G01 · 댐 홈,집 · 댐,,,Y,,116:2,https://www.figma.com/design/ByGT2uoinUBxAQOBqAK7sM/?node-id=116-2
G,G02,G02 · 재료 도감,재료 도감,,,,,116:46,https://www.figma.com/design/ByGT2uoinUBxAQOBqAK7sM/?node-id=116-46
G,G03,G03 · 댐 단계 안내,댐이 자라는 순서,,,,,116:102,https://www.figma.com/design/ByGT2uoinUBxAQOBqAK7sM/?node-id=116-102
G,G04,G04 · 캐릭터 포즈 · 모션 명세,필요한 캐릭터 컷,,,,,116:144,https://www.figma.com/design/ByGT2uoinUBxAQOBqAK7sM/?node-id=116-144
G,G05,G05 · 재료별 기록 상세,나뭇가지,,,,,297:1556,https://www.figma.com/design/ByGT2uoinUBxAQOBqAK7sM/?node-id=297-1556
G,G06,G06 · 틈튼 카드첩,카드첩,,,,,294:5189,https://www.figma.com/design/ByGT2uoinUBxAQOBqAK7sM/?node-id=294-5189
G,G07,G07 · 댐 단계 상승 · 축하,,댐 몸통이 이어졌어요,자란 댐 보러 가기,Y,,475:4256,https://www.figma.com/design/ByGT2uoinUBxAQOBqAK7sM/?node-id=475-4256
H,H01,H01 · 로딩 · 스켈레톤,틈튼,,,Y,,117:2,https://www.figma.com/design/ByGT2uoinUBxAQOBqAK7sM/?node-id=117-2
H,H02,H02 · 네트워크 오류,틈튼,,다시 시도,Y,,117:51,https://www.figma.com/design/ByGT2uoinUBxAQOBqAK7sM/?node-id=117-51
H,H03,H03 · 서버 점검,틈튼,,,,,117:105,https://www.figma.com/design/ByGT2uoinUBxAQOBqAK7sM/?node-id=117-105
H,H04,H04 · 업데이트 필요,틈튼,,스토어 열기,,,117:134,https://www.figma.com/design/ByGT2uoinUBxAQOBqAK7sM/?node-id=117-134
H,H05,H05 · 접근성 · 큰 글자 대응,접근성,,,,,117:162,https://www.figma.com/design/ByGT2uoinUBxAQOBqAK7sM/?node-id=117-162
H,H06,H06 · 앱 종료 확인,틈튼,,닫기,Y,Y,117:225,https://www.figma.com/design/ByGT2uoinUBxAQOBqAK7sM/?node-id=117-225
H,H07,H07 · 세션 만료 · 재로그인,틈튼,,로그인하기,,,117:255,https://www.figma.com/design/ByGT2uoinUBxAQOBqAK7sM/?node-id=117-255
