"미션ID","축","영역","행운의행동","유형","측정분류","측정데이터_핵심","모델연동","측정시작조건","완료판정","행운의위치_후보","행운의숫자_최소","행운의숫자_최대","행운의숫자_간격","단위","시간대","오늘의운세_해석","오늘의한줄_템플릿","수행안내_안전문구","안전태그","시니어안전","검수상태","운동종목","운동강도","강도근거","강도판정메모","추천노출가중치","추천노출풀","추천노출조건","운동집계반영안","검토_우선순위","검토_주요문제","검토_수정제안"
"WALK_SLOWDOWN_16","木","유산소","느린 걸음 즐기기","MODEL_ACTIVE_TIME","모델측정형","유효활동시간_초,걸음수,이동거리_m","Y","미션 시작 후 움직임 모델 활성","모델이 인식한 유효 활동시간이 목표 이상","가까운 산책로,집 주변","10","20","5","분","저녁","서두르지 않을 때 더 좋은 방향이 보여요.","{place}에서 평소보다 느리게 {num}{unit} 걷기!","숨이 차거나 아프면 바로 쉬어요.","","Y","검수대기","유산소","저","지침서표","명시적으로 평소보다 느리게, 저강도","1.5","운동우선","일반 노출 후보","저강도 활동으로 별도 기록; 현재 중강도 환산 분에서는 제외; 실제 강도가 달랐는지는 별도 확인","P2","저강도 시간은 현 모델 피처에 포함되지 않음 / 걷기 감지 임계값은 의학적 강도 분류가 아님","저강도 보상 유지; 가능한 사용자에게 중강도 선택 단계 제공 / 느린 실제 보행 인정 QA와 강도 확인을 각각 수행"
"WALK_ROUTE_17","木","유산소","새 길로 걷기","MODEL_ACTIVE_TIME","모델측정형","유효활동시간_초,걸음수,이동거리_m","Y","미션 시작 후 움직임 모델 활성","모델이 인식한 유효 활동시간이 목표 이상","집 주변,가까운 공원","10","15","5","분","오후","낯선 작은 길이 기분 좋은 자극을 줘요.","{place}에서 익숙한 길을 조금 바꿔 {num}{unit} 걷기!","안전하고 익숙한 범위 안에서만 길을 바꿔요.","","Y","검수대기","유산소","저","RPE","일상 속도 걷기","1.5","운동우선","일반 노출 후보","저강도 활동으로 별도 기록; 현재 중강도 환산 분에서는 제외; 실제 강도가 달랐는지는 별도 확인","P2","저강도 시간은 현 모델 피처에 포함되지 않음 / 걷기 감지 임계값은 의학적 강도 분류가 아님","저강도 보상 유지; 가능한 사용자에게 중강도 선택 단계 제공 / 느린 실제 보행 인정 QA와 강도 확인을 각각 수행"
"WALK_PAUSE_18","木","유산소","자리에서 잠깐 걷기","MODEL_ACTIVE_TIME","모델측정형","유효활동시간_초,걸음수,이동거리_m","Y","미션 시작 후 움직임 모델 활성","모델이 인식한 유효 활동시간이 목표 이상","집,사무실,책상 앞","2","4","1","분","언제나","잠깐의 움직임이 정체된 기운을 풀어줘요.","{place}에서 {num}{unit} 잠깐 걷기!","미션을 시작한 뒤 편한 속도로 걸어요. 몇 걸음만 움직여도 좋아요.","","Y","검수대기","유산소","저","RPE","짧은 기립 이동","1.5","운동우선","일반 노출 후보","저강도 활동으로 별도 기록; 현재 중강도 환산 분에서는 제외; 실제 강도가 달랐는지는 별도 확인","P2","저강도 시간은 현 모델 피처에 포함되지 않음 / 걷기 감지 임계값은 의학적 강도 분류가 아님","저강도 보상 유지; 가능한 사용자에게 중강도 선택 단계 제공 / 느린 실제 보행 인정 QA와 강도 확인을 각각 수행"
"SIDE_STEP_19","木","유산소","옆으로 한 걸음씩 움직이기","SELF_CHECK","사용자수행형","사용자확인,수행횟수(선택)","N","해당 없음","사용자가 완료를 확인","집,사무실","10","20","5","걸음","언제나","새로운 방향의 한 걸음이 오늘의 운을 넓혀요.","{place}에서 옆으로 {num}{unit} 움직이기!","벽이나 의자를 가까이 두고 천천히 해요.","BALANCE","Y","검수대기","평형성","저","RPE","균형 훈련(BALANCE 태그), 유산소 아님","1","일반","기존 노출 유지","현 생활습관 운동 입력에는 미반영","P2","평형성은 유산소·근력 일수와 다른 분류 / 시니어 Y 하나로 개인의 관절·균형·운동 가능 여부를 판단할 수 없음 / 영역=유산소, 운동종목=평형성으로 의미 불일치","안전한 지지물·대체 동작 명시; 다중 운동 목적은 별도 검토 / 지원 도구·통증·균형 조건으로 적합성 세분화 / 영역을 정리하고 측면 보행을 유산소 분으로 자동 환산하지 않기"
"HEEL_TOE_20","木","유산소","발뒤꿈치와 발끝 걷기","SELF_CHECK","사용자수행형","사용자확인,수행횟수(선택)","N","해당 없음","사용자가 완료를 확인","집,복도","10","20","5","걸음","언제나","발끝까지 깨우면 하루의 감각이 살아나요.","{place}에서 발뒤꿈치와 발끝을 느끼며 {num}{unit} 걷기!","균형이 불안하면 평소 걸음으로 바꿔요.","BALANCE","Y","검수대기","평형성","저","RPE","균형 훈련(BALANCE 태그), 유산소 아님","1","일반","기존 노출 유지","현 생활습관 운동 입력에는 미반영","P2","평형성은 유산소·근력 일수와 다른 분류 / 시니어 Y 하나로 개인의 관절·균형·운동 가능 여부를 판단할 수 없음 / 영역=유산소, 운동종목=평형성; 균형이 어려울 수 있음","안전한 지지물·대체 동작 명시; 다중 운동 목적은 별도 검토 / 지원 도구·통증·균형 조건으로 적합성 세분화 / 평형성 분류 정리 및 지지물·보통 걷기 대체 안내"
"SEATED_MARCH_21","木","유산소","앉아서 다리 움직이기","SELF_TIMER","사용자수행형","사용자경과시간_초","N","사용자 시작 후 경과시간 기록","사용자 경과시간 또는 완료 확인","집,책상 앞,사무실","3","5","1","분","언제나","앉은 자리에서도 활력의 문은 열려 있어요.","{place}에서 앉아 {num}{unit} 다리 움직이기!","등받이에 기대고 편한 범위에서 움직여요.","","Y","검수대기","유산소","저","RPE","좌식 저강도 다리 움직임","1.5","운동우선","일반 노출 후보","저강도 활동으로 별도 기록; 현재 중강도 환산 분에서는 제외; 실제 강도가 달랐는지는 별도 확인","P2","저강도 시간은 현 모델 피처에 포함되지 않음 / 타이머 경과가 실제 운동 수행을 보장하지 않음","저강도 보상 유지; 가능한 사용자에게 중강도 선택 단계 제공 / 완료 후 실제 운동시간·체감 강도 확인; 자기보고 출처 보존"
"ARM_SWING_22","木","유산소","팔 흔들며 걷기","SELF_TIMER","사용자수행형","사용자경과시간_초","N","사용자 시작 후 경과시간 기록","사용자 경과시간 또는 완료 확인","집 주변,집","5","10","5","분","언제나","가볍게 흔드는 팔이 기분 좋은 흐름을 만들어요.","{place}에서 팔을 흔들며 {num}{unit} 걷기!","팔을 너무 크게 젖히지 말고 자연스럽게 움직여요.","","Y","검수대기","유산소","저","RPE","실제 이동 걷기, 팔 흔들기는 보조 동작","1.5","운동우선","일반 노출 후보","저강도 활동으로 별도 기록; 현재 중강도 환산 분에서는 제외; 실제 강도가 달랐는지는 별도 확인","P2","저강도 시간은 현 모델 피처에 포함되지 않음 / 타이머 경과가 실제 운동 수행을 보장하지 않음","저강도 보상 유지; 가능한 사용자에게 중강도 선택 단계 제공 / 완료 후 실제 운동시간·체감 강도 확인; 자기보고 출처 보존"
"STEP_TOUCH_25","木","유산소","제자리 스텝 터치하기","SELF_TIMER","사용자수행형","사용자경과시간_초","N","사용자 시작 후 경과시간 기록","사용자 경과시간 또는 완료 확인","집,사무실","3","5","1","분","언제나","가벼운 박자가 하루의 기운을 깨워요.","{place}에서 제자리 스텝 터치를 {num}{unit} 하기!","미끄럽지 않은 바닥에서 작은 동작으로 해요.","","Y","검수대기","유산소","저","RPE","제자리 저강도 스텝, 애매하면 낮게 판정","1.5","운동우선","일반 노출 후보","저강도 활동으로 별도 기록; 현재 중강도 환산 분에서는 제외; 실제 강도가 달랐는지는 별도 확인","P2","저강도 시간은 현 모델 피처에 포함되지 않음 / 타이머 경과가 실제 운동 수행을 보장하지 않음","저강도 보상 유지; 가능한 사용자에게 중강도 선택 단계 제공 / 완료 후 실제 운동시간·체감 강도 확인; 자기보고 출처 보존"
"WALK_SUNLIGHT_26","木","유산소","밝은 곳까지 걷기","MODEL_ACTIVE_TIME","모델측정형","유효활동시간_초,걸음수,이동거리_m","Y","미션 시작 후 움직임 모델 활성","모델이 인식한 유효 활동시간이 목표 이상","집 주변,가까운 공원","5","10","5","분","아침","밝은 방향으로 향하면 마음도 한결 가벼워져요.","{place}에서 밝은 곳까지 {num}{unit} 걷기!","햇빛이 강하면 모자나 그늘을 이용해요.","","Y","검수대기","유산소","저","RPE","가벼운 산책","1.5","운동우선","일반 노출 후보","저강도 활동으로 별도 기록; 현재 중강도 환산 분에서는 제외; 실제 강도가 달랐는지는 별도 확인","P2","저강도 시간은 현 모델 피처에 포함되지 않음 / 걷기 감지 임계값은 의학적 강도 분류가 아님","저강도 보상 유지; 가능한 사용자에게 중강도 선택 단계 제공 / 느린 실제 보행 인정 QA와 강도 확인을 각각 수행"
"WALK_BREATH_27","木","유산소","호흡 맞춰 걷기","MODEL_ACTIVE_TIME","모델측정형","유효활동시간_초,걸음수,이동거리_m","Y","미션 시작 후 움직임 모델 활성","모델이 인식한 유효 활동시간이 목표 이상","집 주변,가까운 산책로","5","10","5","분","언제나","호흡과 걸음을 맞추면 오늘의 페이스가 생겨요.","{place}에서 숨을 고르며 {num}{unit} 걷기!","숨이 차면 걸음을 늦추고 편하게 숨 쉬어요.","","Y","검수대기","유산소","저","RPE","호흡 맞춘 저속 걷기","1.5","운동우선","일반 노출 후보","저강도 활동으로 별도 기록; 현재 중강도 환산 분에서는 제외; 실제 강도가 달랐는지는 별도 확인","P2","저강도 시간은 현 모델 피처에 포함되지 않음 / 걷기 감지 임계값은 의학적 강도 분류가 아님","저강도 보상 유지; 가능한 사용자에게 중강도 선택 단계 제공 / 느린 실제 보행 인정 QA와 강도 확인을 각각 수행"
"WALK_SHOP_29","木","유산소","가까운 가게 다녀오기","SELF_CHECK","사용자수행형","사용자확인,수행횟수(선택)","N","해당 없음","사용자가 완료를 확인","집 주변,가까운 마트","1","2","1","번","오후","일상의 작은 외출에 좋은 기운이 깃들어요.","{place}까지 걸어서 {num}{unit} 다녀오기!","필요한 것만 가볍게 들고 다녀와요.","","Y","검수대기","유산소","저","RPE","생활 걷기","1.5","운동우선","일반 노출 후보","저강도 활동으로 별도 기록; 현재 중강도 환산 분에서는 제외; 실제 강도가 달랐는지는 별도 확인","P1","저강도 시간은 현 모델 피처에 포함되지 않음 / 거리·칸수·완료 체크만으로 유산소 실제 분 계산 불가","저강도 보상 유지; 가능한 사용자에게 중강도 선택 단계 제공 / 목표 단위와 별개로 active_seconds 및 강도별 시간을 기록"
"WALK_RAINY_30","木","유산소","실내에서 걷기","MODEL_ACTIVE_TIME","모델측정형","유효활동시간_초,걸음수,이동거리_m","Y","미션 시작 후 움직임 모델 활성","모델이 인식한 유효 활동시간이 목표 이상","집,사무실,복도","5","15","5","분","언제나","날씨와 상관없이 오늘의 흐름은 이어져요.","{place}에서 {num}{unit} 실내 걷기!","바닥이 미끄럽지 않은지 먼저 확인해요.","","Y","검수대기","유산소","저","RPE","실내 저속 걷기","1.5","운동우선","일반 노출 후보","저강도 활동으로 별도 기록; 현재 중강도 환산 분에서는 제외; 실제 강도가 달랐는지는 별도 확인","P2","저강도 시간은 현 모델 피처에 포함되지 않음 / 걷기 감지 임계값은 의학적 강도 분류가 아님","저강도 보상 유지; 가능한 사용자에게 중강도 선택 단계 제공 / 느린 실제 보행 인정 QA와 강도 확인을 각각 수행"
"WALK_REST_31","木","유산소","중간에 쉬며 걷기","MODEL_ACTIVE_TIME","모델측정형","유효활동시간_초,걸음수,이동거리_m","Y","미션 시작 후 움직임 모델 활성","모델이 인식한 유효 활동시간이 목표 이상","집 주변,가까운 공원","10","20","5","분","언제나","쉬어가는 걸음이 오래가는 행운을 만들어요.","{place}에서 쉬어가며 {num}{unit} 걷기!","힘들면 앉아 쉬고 괜찮아지면 다시 움직여요.","","Y","검수대기","유산소","저","RPE","쉬며 걷는 저강도","1.5","운동우선","일반 노출 후보","저강도 활동으로 별도 기록; 현재 중강도 환산 분에서는 제외; 실제 강도가 달랐는지는 별도 확인","P2","저강도 시간은 현 모델 피처에 포함되지 않음 / 걷기 감지 임계값은 의학적 강도 분류가 아님","저강도 보상 유지; 가능한 사용자에게 중강도 선택 단계 제공 / 느린 실제 보행 인정 QA와 강도 확인을 각각 수행"
"WALK_WARMUP_36","木","유산소","몸 풀고 걷기","MODEL_ACTIVE_TIME","모델측정형","유효활동시간_초,걸음수,이동거리_m","Y","미션 시작 후 움직임 모델 활성","모델이 인식한 유효 활동시간이 목표 이상","집,집 주변","5","10","5","분","언제나","천천히 시작할수록 하루의 흐름이 부드러워져요.","{place}에서 몸을 풀고 {num}{unit} 걷기!","첫 1분은 특히 천천히 움직여요.","","Y","검수대기","유산소","저","RPE","준비 단계 저강도 걷기","1.5","운동우선","일반 노출 후보","저강도 활동으로 별도 기록; 현재 중강도 환산 분에서는 제외; 실제 강도가 달랐는지는 별도 확인","P2","저강도 시간은 현 모델 피처에 포함되지 않음 / 걷기 감지 임계값은 의학적 강도 분류가 아님","저강도 보상 유지; 가능한 사용자에게 중강도 선택 단계 제공 / 느린 실제 보행 인정 QA와 강도 확인을 각각 수행"
"CHAIR_STAND_01","火","근력운동","의자에서 앉았다 일어서기","SELF_CHECK","사용자수행형","사용자확인,수행횟수(선택)","N","해당 없음","사용자가 완료를 확인","집,사무실,책상 앞","5","15","5","회","언제나","다리의 힘이 오늘의 자신감을 받쳐줘요.","{place}에서 앉았다 일어서기 {num}{unit}!","튼튼한 의자를 쓰고 필요하면 손으로 짚어요.","","Y","검수대기","근력","중","RPE","체중 저항 있고 8~12회면 뻐근함, RPE 5","1.5","운동우선","일반 노출 후보","보류: 반복·세트·저항·부위 기록 및 같은 날 중복 제거 기준 필요","P1","완료 한 번을 근력운동 1일로 인정할 기준 없음","실제 반복·세트·저항·부위·날짜를 기록하고 같은 날 중복 제거"
"WALL_PUSHUP_02","火","근력운동","벽 짚고 밀기","SELF_CHECK","사용자수행형","사용자확인,수행횟수(선택)","N","해당 없음","사용자가 완료를 확인","집,사무실","5","15","5","회","언제나","밀어내는 힘이 새로운 활력을 불러와요.","{place}에서 벽 짚고 밀기 {num}{unit}!","벽에서 한 걸음 떨어지고 어깨가 아프면 멈춰요.","","Y","검수대기","근력","중","RPE","체중 일부 저항, RPE 5","1.5","운동우선","일반 노출 후보","보류: 반복·세트·저항·부위 기록 및 같은 날 중복 제거 기준 필요","P1","완료 한 번을 근력운동 1일로 인정할 기준 없음","실제 반복·세트·저항·부위·날짜를 기록하고 같은 날 중복 제거"
"CALF_RAISE_03","火","근력운동","까치발 들기","SELF_CHECK","사용자수행형","사용자확인,수행횟수(선택)","N","해당 없음","사용자가 완료를 확인","집,사무실,책상 앞","10","20","5","회","언제나","발끝의 작은 힘이 하루의 기운을 깨워요.","{place}에서 까치발을 {num}{unit} 들기!","벽이나 의자를 잡고 천천히 해요.","","Y","검수대기","근력","중","RPE","체중 저항 반복, RPE 5","1.5","운동우선","일반 노출 후보","보류: 반복·세트·저항·부위 기록 및 같은 날 중복 제거 기준 필요","P1","완료 한 번을 근력운동 1일로 인정할 기준 없음","실제 반복·세트·저항·부위·날짜를 기록하고 같은 날 중복 제거"
"GRIP_OPEN_04","火","근력운동","주먹 쥐었다 펴기","SELF_CHECK","사용자수행형","사용자확인,수행횟수(선택)","N","해당 없음","사용자가 완료를 확인","집,책상 앞,사무실","10","20","5","회","언제나","손끝에 힘을 주면 집중의 기운이 모여요.","{place}에서 주먹을 {num}{unit} 쥐었다 펴기!","손목이 아프면 힘을 줄이고 쉬어요.","","Y","검수대기","근력","저","RPE","저항 거의 없음","1.5","운동우선","일반 노출 후보","보류: 반복·세트·저항·부위 기록 및 같은 날 중복 제거 기준 필요","P1","완료 한 번을 근력운동 1일로 인정할 기준 없음","실제 반복·세트·저항·부위·날짜를 기록하고 같은 날 중복 제거"
"SHOULDER_ROLL_05","火","근력운동","어깨 돌리기","SELF_CHECK","사용자수행형","사용자확인,수행횟수(선택)","N","해당 없음","사용자가 완료를 확인","집,책상 앞,사무실","5","15","5","회","언제나","굳은 어깨를 풀면 오늘의 기세가 살아나요.","{place}에서 어깨를 {num}{unit} 천천히 돌리기!","목에 힘을 빼고 작은 원부터 그려요.","","Y","검수대기","근력","저","RPE","저항 없음, 가동범위 동작 - 오분류 검토 대상","1","기초실천_분류검토","운동량 확보 목적의 근력 우선 노출에서 제외; 분류 검수 후 결정","보류: 반복·세트·저항·부위 기록 및 같은 날 중복 제거 기준 필요","P1","완료 한 번을 근력운동 1일로 인정할 기준 없음 / 가동성/자세/이완 동작을 근력 일수로 과대 인정할 위험","실제 반복·세트·저항·부위·날짜를 기록하고 같은 날 중복 제거 / 회복·가동성으로 재분류하거나 근력 자극을 만드는 구체적 저항 조건 추가"
"ARM_CIRCLE_06","火","근력운동","팔 원 그리기","SELF_CHECK","사용자수행형","사용자확인,수행횟수(선택)","N","해당 없음","사용자가 완료를 확인","집,사무실","5","10","5","회","언제나","가볍게 펼친 팔이 활력의 문을 열어요.","{place}에서 팔로 작은 원 {num}{unit} 그리기!","어깨 높이보다 낮게 하고 통증이 있으면 멈춰요.","","Y","검수대기","근력","저","RPE","저항 없음, 가동범위","1","기초실천_분류검토","운동량 확보 목적의 근력 우선 노출에서 제외; 분류 검수 후 결정","보류: 반복·세트·저항·부위 기록 및 같은 날 중복 제거 기준 필요","P1","완료 한 번을 근력운동 1일로 인정할 기준 없음 / 가동성/자세/이완 동작을 근력 일수로 과대 인정할 위험","실제 반복·세트·저항·부위·날짜를 기록하고 같은 날 중복 제거 / 회복·가동성으로 재분류하거나 근력 자극을 만드는 구체적 저항 조건 추가"
