"미션ID","축","영역","행운의행동","유형","측정분류","측정데이터_핵심","모델연동","측정시작조건","완료판정","행운의위치_후보","행운의숫자_최소","행운의숫자_최대","행운의숫자_간격","단위","시간대","오늘의운세_해석","오늘의한줄_템플릿","수행안내_안전문구","안전태그","시니어안전","검수상태"
"WALK_SLOWDOWN_16","木","유산소","느린 걸음 즐기기","MODEL_ACTIVE_TIME","모델측정형","유효활동시간_초,걸음수,이동거리_m","Y","미션 시작 후 움직임 모델 활성","모델이 인식한 유효 활동시간이 목표 이상","가까운 산책로,집 주변","10","20","5","분","저녁","서두르지 않을 때 더 좋은 방향이 보여요.","{place}에서 평소보다 느리게 {num}{unit} 걷기!","숨이 차거나 아프면 바로 쉬어요.","","Y","검수대기"
"WALK_ROUTE_17","木","유산소","새 길로 걷기","MODEL_ACTIVE_TIME","모델측정형","유효활동시간_초,걸음수,이동거리_m","Y","미션 시작 후 움직임 모델 활성","모델이 인식한 유효 활동시간이 목표 이상","집 주변,가까운 공원","10","15","5","분","오후","낯선 작은 길이 기분 좋은 자극을 줘요.","{place}에서 익숙한 길을 조금 바꿔 {num}{unit} 걷기!","안전하고 익숙한 범위 안에서만 길을 바꿔요.","","Y","검수대기"
"WALK_PAUSE_18","木","유산소","자리에서 잠깐 걷기","MODEL_ACTIVE_TIME","모델측정형","유효활동시간_초,걸음수,이동거리_m","Y","미션 시작 후 움직임 모델 활성","모델이 인식한 유효 활동시간이 목표 이상","집,사무실,책상 앞","2","4","1","분","언제나","잠깐의 움직임이 정체된 기운을 풀어줘요.","{place}에서 {num}{unit} 잠깐 걷기!","미션을 시작한 뒤 편한 속도로 걸어요. 몇 걸음만 움직여도 좋아요.","","Y","검수대기"
"SIDE_STEP_19","木","유산소","옆으로 한 걸음씩 움직이기","SELF_CHECK","사용자수행형","사용자확인,수행횟수(선택)","N","해당 없음","사용자가 완료를 확인","집,사무실","10","20","5","걸음","언제나","새로운 방향의 한 걸음이 오늘의 운을 넓혀요.","{place}에서 옆으로 {num}{unit} 움직이기!","벽이나 의자를 가까이 두고 천천히 해요.","BALANCE","Y","검수대기"
"HEEL_TOE_20","木","유산소","발뒤꿈치와 발끝 걷기","SELF_CHECK","사용자수행형","사용자확인,수행횟수(선택)","N","해당 없음","사용자가 완료를 확인","집,복도","10","20","5","걸음","언제나","발끝까지 깨우면 하루의 감각이 살아나요.","{place}에서 발뒤꿈치와 발끝을 느끼며 {num}{unit} 걷기!","균형이 불안하면 평소 걸음으로 바꿔요.","BALANCE","Y","검수대기"
"SEATED_MARCH_21","木","유산소","앉아서 다리 움직이기","SELF_TIMER","사용자수행형","사용자경과시간_초","N","사용자 시작 후 경과시간 기록","사용자 경과시간 또는 완료 확인","집,책상 앞,사무실","3","5","1","분","언제나","앉은 자리에서도 활력의 문은 열려 있어요.","{place}에서 앉아 {num}{unit} 다리 움직이기!","등받이에 기대고 편한 범위에서 움직여요.","","Y","검수대기"
"ARM_SWING_22","木","유산소","팔 흔들며 걷기","SELF_TIMER","사용자수행형","사용자경과시간_초","N","사용자 시작 후 경과시간 기록","사용자 경과시간 또는 완료 확인","집 주변,집","5","10","5","분","언제나","가볍게 흔드는 팔이 기분 좋은 흐름을 만들어요.","{place}에서 팔을 흔들며 {num}{unit} 걷기!","팔을 너무 크게 젖히지 말고 자연스럽게 움직여요.","","Y","검수대기"
"STEP_TOUCH_25","木","유산소","제자리 스텝 터치하기","SELF_TIMER","사용자수행형","사용자경과시간_초","N","사용자 시작 후 경과시간 기록","사용자 경과시간 또는 완료 확인","집,사무실","3","5","1","분","언제나","가벼운 박자가 하루의 기운을 깨워요.","{place}에서 제자리 스텝 터치를 {num}{unit} 하기!","미끄럽지 않은 바닥에서 작은 동작으로 해요.","","Y","검수대기"
"WALK_SUNLIGHT_26","木","유산소","밝은 곳까지 걷기","MODEL_ACTIVE_TIME","모델측정형","유효활동시간_초,걸음수,이동거리_m","Y","미션 시작 후 움직임 모델 활성","모델이 인식한 유효 활동시간이 목표 이상","집 주변,가까운 공원","5","10","5","분","아침","밝은 방향으로 향하면 마음도 한결 가벼워져요.","{place}에서 밝은 곳까지 {num}{unit} 걷기!","햇빛이 강하면 모자나 그늘을 이용해요.","","Y","검수대기"
"WALK_BREATH_27","木","유산소","호흡 맞춰 걷기","MODEL_ACTIVE_TIME","모델측정형","유효활동시간_초,걸음수,이동거리_m","Y","미션 시작 후 움직임 모델 활성","모델이 인식한 유효 활동시간이 목표 이상","집 주변,가까운 산책로","5","10","5","분","언제나","호흡과 걸음을 맞추면 오늘의 페이스가 생겨요.","{place}에서 숨을 고르며 {num}{unit} 걷기!","숨이 차면 걸음을 늦추고 편하게 숨 쉬어요.","","Y","검수대기"
"WALK_SHOP_29","木","유산소","가까운 가게 다녀오기","SELF_CHECK","사용자수행형","사용자확인,수행횟수(선택)","N","해당 없음","사용자가 완료를 확인","집 주변,가까운 마트","1","2","1","번","오후","일상의 작은 외출에 좋은 기운이 깃들어요.","{place}까지 걸어서 {num}{unit} 다녀오기!","필요한 것만 가볍게 들고 다녀와요.","","Y","검수대기"
"WALK_RAINY_30","木","유산소","실내에서 걷기","MODEL_ACTIVE_TIME","모델측정형","유효활동시간_초,걸음수,이동거리_m","Y","미션 시작 후 움직임 모델 활성","모델이 인식한 유효 활동시간이 목표 이상","집,사무실,복도","5","15","5","분","언제나","날씨와 상관없이 오늘의 흐름은 이어져요.","{place}에서 {num}{unit} 실내 걷기!","바닥이 미끄럽지 않은지 먼저 확인해요.","","Y","검수대기"
"WALK_REST_31","木","유산소","중간에 쉬며 걷기","MODEL_ACTIVE_TIME","모델측정형","유효활동시간_초,걸음수,이동거리_m","Y","미션 시작 후 움직임 모델 활성","모델이 인식한 유효 활동시간이 목표 이상","집 주변,가까운 공원","10","20","5","분","언제나","쉬어가는 걸음이 오래가는 행운을 만들어요.","{place}에서 쉬어가며 {num}{unit} 걷기!","힘들면 앉아 쉬고 괜찮아지면 다시 움직여요.","","Y","검수대기"
"WALK_WARMUP_36","木","유산소","몸 풀고 걷기","MODEL_ACTIVE_TIME","모델측정형","유효활동시간_초,걸음수,이동거리_m","Y","미션 시작 후 움직임 모델 활성","모델이 인식한 유효 활동시간이 목표 이상","집,집 주변","5","10","5","분","언제나","천천히 시작할수록 하루의 흐름이 부드러워져요.","{place}에서 몸을 풀고 {num}{unit} 걷기!","첫 1분은 특히 천천히 움직여요.","","Y","검수대기"
"CHAIR_STAND_01","火","근력운동","의자에서 앉았다 일어서기","SELF_CHECK","사용자수행형","사용자확인,수행횟수(선택)","N","해당 없음","사용자가 완료를 확인","집,사무실,책상 앞","5","15","5","회","언제나","다리의 힘이 오늘의 자신감을 받쳐줘요.","{place}에서 앉았다 일어서기 {num}{unit}!","튼튼한 의자를 쓰고 필요하면 손으로 짚어요.","","Y","검수대기"
"WALL_PUSHUP_02","火","근력운동","벽 짚고 밀기","SELF_CHECK","사용자수행형","사용자확인,수행횟수(선택)","N","해당 없음","사용자가 완료를 확인","집,사무실","5","15","5","회","언제나","밀어내는 힘이 새로운 활력을 불러와요.","{place}에서 벽 짚고 밀기 {num}{unit}!","벽에서 한 걸음 떨어지고 어깨가 아프면 멈춰요.","","Y","검수대기"
"CALF_RAISE_03","火","근력운동","까치발 들기","SELF_CHECK","사용자수행형","사용자확인,수행횟수(선택)","N","해당 없음","사용자가 완료를 확인","집,사무실,책상 앞","10","20","5","회","언제나","발끝의 작은 힘이 하루의 기운을 깨워요.","{place}에서 까치발을 {num}{unit} 들기!","벽이나 의자를 잡고 천천히 해요.","","Y","검수대기"
"GRIP_OPEN_04","火","근력운동","주먹 쥐었다 펴기","SELF_CHECK","사용자수행형","사용자확인,수행횟수(선택)","N","해당 없음","사용자가 완료를 확인","집,책상 앞,사무실","10","20","5","회","언제나","손끝에 힘을 주면 집중의 기운이 모여요.","{place}에서 주먹을 {num}{unit} 쥐었다 펴기!","손목이 아프면 힘을 줄이고 쉬어요.","","Y","검수대기"
"SHOULDER_ROLL_05","火","근력운동","어깨 돌리기","SELF_CHECK","사용자수행형","사용자확인,수행횟수(선택)","N","해당 없음","사용자가 완료를 확인","집,책상 앞,사무실","5","15","5","회","언제나","굳은 어깨를 풀면 오늘의 기세가 살아나요.","{place}에서 어깨를 {num}{unit} 천천히 돌리기!","목에 힘을 빼고 작은 원부터 그려요.","","Y","검수대기"
"ARM_CIRCLE_06","火","근력운동","팔 원 그리기","SELF_CHECK","사용자수행형","사용자확인,수행횟수(선택)","N","해당 없음","사용자가 완료를 확인","집,사무실","5","10","5","회","언제나","가볍게 펼친 팔이 활력의 문을 열어요.","{place}에서 팔로 작은 원 {num}{unit} 그리기!","어깨 높이보다 낮게 하고 통증이 있으면 멈춰요.","","Y","검수대기"
"SEATED_KNEE_07","火","근력운동","앉아서 무릎 들기","SELF_CHECK","사용자수행형","사용자확인,수행횟수(선택)","N","해당 없음","사용자가 완료를 확인","집,책상 앞,사무실","10","20","5","회","언제나","천천히 드는 다리에 든든한 기운이 쌓여요.","{place}에서 앉아 무릎을 {num}{unit} 들기!","등받이에 기대고 허리가 불편하면 범위를 줄여요.","","Y","검수대기"
"SEATED_LEG_08","火","근력운동","앉아서 다리 펴기","SELF_CHECK","사용자수행형","사용자확인,수행횟수(선택)","N","해당 없음","사용자가 완료를 확인","집,책상 앞","5","15","5","회","언제나","곧게 펴는 동작이 마음에도 힘을 줘요.","{place}에서 앉아 다리를 {num}{unit} 펴기!","무릎을 끝까지 펴기 어렵다면 편한 만큼만 해요.","","Y","검수대기"
"BACK_SQUEEZE_09","火","근력운동","등 뒤 날개뼈 모으기","SELF_CHECK","사용자수행형","사용자확인,수행횟수(선택)","N","해당 없음","사용자가 완료를 확인","집,사무실,책상 앞","5","15","5","회","언제나","등을 펴면 숨겨진 자신감이 드러나요.","{place}에서 날개뼈를 {num}{unit} 모으기!","어깨를 올리지 말고 가볍게 모아요.","","Y","검수대기"
"TOE_RAISE_10","火","근력운동","발끝 들기","SELF_CHECK","사용자수행형","사용자확인,수행횟수(선택)","N","해당 없음","사용자가 완료를 확인","집,책상 앞","10","20","5","회","언제나","발을 깨우면 하루의 발걸음도 가벼워져요.","{place}에서 발끝을 {num}{unit} 들기!","의자에 앉아 하거나 벽을 잡고 해요.","","Y","검수대기"
"WRIST_ROTATE_11","火","근력운동","손목 돌리기","SELF_CHECK","사용자수행형","사용자확인,수행횟수(선택)","N","해당 없음","사용자가 완료를 확인","집,책상 앞,사무실","5","15","5","회","언제나","부드러운 손목 움직임이 일의 흐름을 도와줘요.","{place}에서 손목을 {num}{unit} 돌리기!","통증 없이 천천히 작은 원을 그려요.","","Y","검수대기"
"ANKLE_ROTATE_12","火","근력운동","발목 돌리기","SELF_CHECK","사용자수행형","사용자확인,수행횟수(선택)","N","해당 없음","사용자가 완료를 확인","집,책상 앞","5","15","5","회","언제나","발목을 풀면 오늘의 움직임이 한결 편해져요.","{place}에서 발목을 {num}{unit} 돌리기!","앉아서 한쪽씩 천천히 돌려요.","","Y","검수대기"
"HAND_PRESS_13","火","근력운동","손바닥 맞대고 누르기","SELF_CHECK","사용자수행형","사용자확인,수행횟수(선택)","N","해당 없음","사용자가 완료를 확인","집,사무실,책상 앞","5","10","5","회","언제나","두 손의 힘이 마음의 중심을 잡아줘요.","{place}에서 손바닥을 맞대고 {num}{unit} 누르기!","숨을 참지 말고 가볍게 힘을 줘요.","","Y","검수대기"
"TOWEL_PULL_14","火","근력운동","수건 양끝 당기기","SELF_CHECK","사용자수행형","사용자확인,수행횟수(선택)","N","해당 없음","사용자가 완료를 확인","집,사무실","5","10","5","회","언제나","당기는 힘이 흐트러진 기운을 모아줘요.","{place}에서 수건 양끝을 {num}{unit} 가볍게 당기기!","팔을 어깨보다 높이 들지 말고 통증이 있으면 멈춰요.","","Y","검수대기"
"HIP_HINGE_15","火","근력운동","엉덩이 뒤로 빼기","SELF_CHECK","사용자수행형","사용자확인,수행횟수(선택)","N","해당 없음","사용자가 완료를 확인","집,사무실","5","10","5","회","언제나","바른 중심에서 안정된 하루가 시작돼요.","{place}에서 엉덩이를 뒤로 빼는 동작 {num}{unit} 하기!","벽이나 의자를 가까이 두고 허리를 과하게 숙이지 않아요.","BALANCE","Y","검수대기"
"WALL_SIT_16","火","근력운동","벽 기대어 버티기","SELF_TIMER","사용자수행형","사용자경과시간_초","N","사용자 시작 후 경과시간 기록","사용자 경과시간 또는 완료 확인","집,사무실","10","20","5","초","언제나","잠깐의 버팀이 오늘의 끈기를 키워줘요.","{place}에서 벽에 기대 {num}{unit} 버티기!","무릎이 불편하면 깊게 앉지 말고 바로 멈춰요.","HIGH_IMPACT","Y","검수대기"
"SEATED_ARM_RAISE_17","火","근력운동","앉아서 팔 올리기","SELF_CHECK","사용자수행형","사용자확인,수행횟수(선택)","N","해당 없음","사용자가 완료를 확인","집,책상 앞","5","10","5","회","언제나","위로 뻗는 마음에 밝은 기운이 따라와요.","{place}에서 앉아 팔을 {num}{unit} 올리기!","어깨가 불편하면 가슴 높이까지만 올려요.","","Y","검수대기"
"WALL_REACH_18","火","근력운동","벽에 손 뻗기","SELF_CHECK","사용자수행형","사용자확인,수행횟수(선택)","N","해당 없음","사용자가 완료를 확인","집,사무실","5","15","5","회","언제나","닿을 듯한 한 번의 손길이 기회를 가까이해요.","{place}에서 벽을 향해 손을 {num}{unit} 뻗기!","발을 고정하고 몸을 과하게 앞으로 기울이지 않아요.","","Y","검수대기"
"CHAIR_PRESS_19","火","근력운동","의자 팔걸이 누르기","SELF_CHECK","사용자수행형","사용자확인,수행횟수(선택)","N","해당 없음","사용자가 완료를 확인","집,사무실","5","10","5","회","언제나","안정된 힘이 오늘의 균형을 지켜줘요.","{place}에서 의자 팔걸이를 {num}{unit} 가볍게 누르기!","바퀴 없는 튼튼한 의자에서만 해요.","","Y","검수대기"
"SEATED_HEEL_20","火","근력운동","앉아서 발뒤꿈치 들기","SELF_CHECK","사용자수행형","사용자확인,수행횟수(선택)","N","해당 없음","사용자가 완료를 확인","집,책상 앞,사무실","10","20","5","회","언제나","작은 반복이 묵직한 활력을 만들어요.","{place}에서 앉아 발뒤꿈치를 {num}{unit} 들기!","발바닥을 편하게 바닥에 두고 해요.","","Y","검수대기"
"FINGER_TAP_21","火","근력운동","손가락 맞닿게 하기","SELF_CHECK","사용자수행형","사용자확인,수행횟수(선택)","N","해당 없음","사용자가 완료를 확인","집,책상 앞,사무실","5","15","5","회","언제나","섬세한 움직임이 집중의 운을 불러와요.","{place}에서 엄지와 손가락을 {num}{unit} 맞닿게 하기!","손가락을 세게 누르지 않아도 돼요.","","Y","검수대기"
"NECK_TUCK_22","火","근력운동","턱 살짝 당기기","SELF_CHECK","사용자수행형","사용자확인,수행횟수(선택)","N","해당 없음","사용자가 완료를 확인","집,책상 앞,사무실","5","10","5","회","언제나","고개를 바로 세우면 마음도 또렷해져요.","{place}에서 턱을 살짝 {num}{unit} 당기기!","고개를 숙이지 말고 뒤로 길게 당기는 느낌으로 해요.","","Y","검수대기"
"ELBOW_BEND_23","火","근력운동","팔꿈치 굽혔다 펴기","SELF_CHECK","사용자수행형","사용자확인,수행횟수(선택)","N","해당 없음","사용자가 완료를 확인","집,사무실","5","15","5","회","언제나","가벼운 팔의 힘이 일상에 도움을 줘요.","{place}에서 팔꿈치를 {num}{unit} 굽혔다 펴기!","팔을 몸 가까이에 두고 천천히 해요.","","Y","검수대기"
"SIDE_LEG_RAISE_24","火","근력운동","옆으로 다리 들기","SELF_CHECK","사용자수행형","사용자확인,수행횟수(선택)","N","해당 없음","사용자가 완료를 확인","집,사무실","5","10","5","회","언제나","균형을 잡는 힘이 오늘의 중심을 단단하게 해요.","{place}에서 옆으로 다리를 {num}{unit} 들기!","의자나 벽을 잡고 다리를 낮게 들어요.","BALANCE","Y","검수대기"
"KNEE_EXTENSION_25","火","근력운동","무릎 펴고 멈추기","SELF_TIMER","사용자수행형","사용자경과시간_초","N","사용자 시작 후 경과시간 기록","사용자 경과시간 또는 완료 확인","집,책상 앞","3","5","1","초","언제나","잠깐의 정지가 다리의 힘을 깨워줘요.","{place}에서 무릎을 펴고 {num}{unit} 멈추기!","앉아서 하고 무릎에 통증이 있으면 바로 내려요.","","Y","검수대기"
"POSTURE_HOLD_26","火","근력운동","바른 자세 유지하기","SELF_TIMER","사용자수행형","사용자경과시간_초","N","사용자 시작 후 경과시간 기록","사용자 경과시간 또는 완료 확인","집,사무실,책상 앞","1","3","1","분","언제나","반듯한 자세가 오늘의 품격을 더해줘요.","{place}에서 바른 자세로 {num}{unit} 앉아 있기!","허리를 과하게 세우지 말고 편한 중립 자세를 찾아요.","","Y","검수대기"
"SEATED_TWIST_27","火","근력운동","앉아서 몸통 돌리기","SELF_CHECK","사용자수행형","사용자확인,수행횟수(선택)","N","해당 없음","사용자가 완료를 확인","집,책상 앞","5","10","5","회","언제나","가볍게 방향을 바꾸면 생각도 유연해져요.","{place}에서 앉아 몸통을 {num}{unit} 천천히 돌리기!","골반은 고정하고 아프지 않은 범위에서만 해요.","","Y","검수대기"
"WALL_ANGEL_28","火","근력운동","벽에 기대 팔 움직이기","SELF_CHECK","사용자수행형","사용자확인,수행횟수(선택)","N","해당 없음","사용자가 완료를 확인","집,사무실","5","10","5","회","언제나","벽을 등진 순간에 자세의 기운이 바로 서요.","{place}에서 벽에 기대 팔을 {num}{unit} 움직이기!","어깨 통증이 있으면 팔을 낮게 움직여요.","","Y","검수대기"
"CHAIR_HALFSTAND_29","火","근력운동","의자에서 반쯤 일어서기","SELF_CHECK","사용자수행형","사용자확인,수행횟수(선택)","N","해당 없음","사용자가 완료를 확인","집,사무실","5","10","5","회","언제나","작은 도전이 오늘의 힘을 확인시켜줘요.","{place}에서 의자에서 반쯤 {num}{unit} 일어서기!","난간 없는 튼튼한 의자를 쓰고 천천히 해요.","","Y","검수대기"
"SCAPULA_DOWN_30","火","근력운동","어깨 내리기","SELF_CHECK","사용자수행형","사용자확인,수행횟수(선택)","N","해당 없음","사용자가 완료를 확인","집,사무실,책상 앞","5","15","5","회","언제나","내려놓는 동작에 가벼운 행운이 찾아와요.","{place}에서 어깨를 {num}{unit} 내리기!","숨을 내쉬며 어깨 힘을 툭 빼요.","","Y","검수대기"
"WALL_LEAN_31","火","근력운동","벽에 기대 몸 밀기","SELF_CHECK","사용자수행형","사용자확인,수행횟수(선택)","N","해당 없음","사용자가 완료를 확인","집,사무실","5","10","5","회","언제나","몸을 지지하는 힘이 마음의 여유가 돼요.","{place}에서 벽에 기대 몸을 {num}{unit} 가볍게 밀기!","발이 미끄러지지 않는지 확인해요.","","Y","검수대기"
"SEATED_MARCH_STRONG_32","火","근력운동","앉아서 무릎 번갈아 들기","SELF_CHECK","사용자수행형","사용자확인,수행횟수(선택)","N","해당 없음","사용자가 완료를 확인","집,책상 앞","10","20","5","회","언제나","번갈아 움직일수록 활력의 리듬이 생겨요.","{place}에서 무릎을 번갈아 {num}{unit} 들기!","허리를 의자 깊숙이 붙이고 천천히 해요.","","Y","검수대기"
"FIST_HOLD_33","火","근력운동","주먹 쥐고 잠깐 버티기","SELF_TIMER","사용자수행형","사용자경과시간_초","N","사용자 시작 후 경과시간 기록","사용자 경과시간 또는 완료 확인","집,책상 앞,사무실","3","5","1","초","언제나","잠깐 모은 힘이 오늘의 결심을 단단하게 해요.","{place}에서 주먹을 쥐고 {num}{unit} 버티기!","손가락이 저리면 힘을 풀고 쉬어요.","","Y","검수대기"
"BOOK_REACH_34","火","근력운동","가벼운 물건 들기","SELF_CHECK","사용자수행형","사용자확인,수행횟수(선택)","N","해당 없음","사용자가 완료를 확인","집,사무실","3","5","1","회","언제나","가벼운 힘쓰기가 일상의 자신감을 키워줘요.","{place}에서 가벼운 물건을 {num}{unit} 들어보기!","물병처럼 가벼운 것만 들고 허리가 아프면 하지 않아요.","","Y","검수대기"
"TOWEL_SQUEEZE_35","火","근력운동","수건 말아 쥐기","SELF_CHECK","사용자수행형","사용자확인,수행횟수(선택)","N","해당 없음","사용자가 완료를 확인","집,책상 앞","5","15","5","회","언제나","쥐는 힘에 오늘의 집중력이 모여요.","{place}에서 수건을 말아 {num}{unit} 쥐기!","손목을 꺾지 말고 가볍게 쥐어요.","","Y","검수대기"
"SIT_TALL_36","火","근력운동","앉아 키 크게 만들기","SELF_TIMER","사용자수행형","사용자경과시간_초","N","사용자 시작 후 경과시간 기록","사용자 경과시간 또는 완료 확인","집,사무실,책상 앞","1","3","1","분","언제나","몸을 길게 세우면 기분도 환해져요.","{place}에서 키를 크게 만드는 자세로 {num}{unit} 앉기!","숨을 편히 쉬며 어깨는 내린 상태를 유지해요.","","Y","검수대기"
"BACKWARD_STEP_37","火","근력운동","뒤로 한 걸음 내딛기","SELF_CHECK","사용자수행형","사용자확인,수행횟수(선택)","N","해당 없음","사용자가 완료를 확인","집,사무실","5","10","5","회","언제나","조심스러운 한 걸음에도 새로운 힘이 생겨요.","{place}에서 뒤로 한 걸음 {num}{unit} 내딛기!","반드시 벽이나 의자를 잡고 아주 작게 움직여요.","BALANCE","Y","검수대기"
"MINI_SQUAT_38","火","근력운동","작게 앉았다 일어서기","SELF_CHECK","사용자수행형","사용자확인,수행횟수(선택)","N","해당 없음","사용자가 완료를 확인","집,사무실","5","10","5","회","언제나","작은 굽힘이 다리의 기운을 깨워줘요.","{place}에서 작게 앉았다 일어서기 {num}{unit}!","무릎이 불편하면 의자 앉았다 일어서기로 바꿔요.","HIGH_IMPACT","Y","검수대기"
"CHAIR_BACKPRESS_39","火","근력운동","등받이에 기대기","SELF_TIMER","사용자수행형","사용자경과시간_초","N","사용자 시작 후 경과시간 기록","사용자 경과시간 또는 완료 확인","집,사무실","5","10","5","초","언제나","편안한 지지가 오늘의 힘을 회복시켜줘요.","{place}에서 등받이에 기대 {num}{unit} 힘 빼기!","허리를 과하게 누르지 말고 편안하게 기대요.","","Y","검수대기"
"STRENGTH_FINISH_40","火","근력운동","힘준 부위 풀기","SELF_TIMER","사용자수행형","사용자경과시간_초","N","사용자 시작 후 경과시간 기록","사용자 경과시간 또는 완료 확인","집,사무실,책상 앞","1","3","1","분","언제나","힘을 쓴 뒤의 이완이 좋은 기운을 완성해요.","{place}에서 힘준 부위를 {num}{unit} 가볍게 풀기!","당기는 느낌이 아프면 즉시 멈춰요.","","Y","검수대기"
"VEGGIE_MORE_01","土","식사·수면·생활 리듬","채소 반찬 더 먹기","SELF_CHECK","사용자수행형","사용자확인,수행횟수(선택)","N","해당 없음","사용자가 완료를 확인","집,주방,지금 있는 곳","1","2","1","가지","점심,저녁","오늘의 식탁에 싱그러운 기운을 더해봐요.","오늘 한 끼에 채소 반찬 {num}{unit} 더 먹기!","이미 있는 나물이나 샐러드 중에서 골라도 돼요.","","Y","검수대기"
